m,n,k,time_int,time_ext,max_error
250,250,750,0.1126749515533447,1.7809867858886719E-003,0.000000000000000
500,250,750,0.1318418979644775,4.3711662292480469E-003,0.000000000000000
750,250,750,0.1375288963317871,6.4489841461181641E-003,0.000000000000000
1000,250,750,0.1380817890167236,8.3279609680175781E-003,0.000000000000000
1500,250,750,0.1431670188903809,1.1776924133300781E-002,0.000000000000000
2000,250,750,0.1405351161956787,1.5572071075439453E-002,0.000000000000000
3000,250,750,0.1488959789276123,2.2795915603637695E-002,0.000000000000000
5000,250,750,0.1638789176940918,3.7384986877441406E-002,0.000000000000000
100,500,750,0.1308732032775879,1.6040802001953125E-003,0.000000000000000
250,500,750,0.1300461292266846,3.1011104583740234E-003,0.000000000000000
500,500,750,0.1363170146942139,5.5940151214599609E-003,0.000000000000000
750,500,750,0.1413218975067139,8.1779956817626953E-003,0.000000000000000
1000,500,750,0.1123828887939453,6.3450336456298828E-003,0.000000000000000
1500,500,750,0.1235568523406982,1.1034011840820313E-002,0.000000000000000
2000,500,750,0.1357870101928711,1.8522977828979492E-002,0.000000000000000
3000,500,750,0.1599221229553223,2.8192996978759766E-002,0.000000000000000
5000,500,750,0.1788320541381836,4.6224832534790039E-002,0.000000000000000
100,750,750,0.1292002201080322,2.0909309387207031E-003,0.000000000000000
250,750,750,0.1334490776062012,3.6749839782714844E-003,0.000000000000000
500,750,750,0.1371898651123047,6.3118934631347656E-003,0.000000000000000
750,750,750,0.1281948089599609,6.7939758300781250E-003,0.000000000000000
1000,750,750,0.1270189285278320,9.0479850769042969E-003,0.000000000000000
1500,750,750,0.1433198451995850,1.7062902450561523E-002,0.000000000000000
2000,750,750,0.1491639614105225,2.1595001220703125E-002,0.000000000000000
3000,750,750,0.1516189575195313,2.4852991104125977E-002,0.000000000000000
5000,750,750,0.1698839664459229,5.3998947143554688E-002,0.000000000000000
100,1000,750,0.1288111209869385,2.6628971099853516E-003,0.000000000000000
250,1000,750,0.1325349807739258,4.4209957122802734E-003,0.000000000000000
500,1000,750,0.1361060142517090,7.5950622558593750E-003,0.000000000000000
750,1000,750,0.1409640312194824,1.1234998703002930E-002,0.000000000000000
1000,1000,750,0.1475999355316162,1.4464855194091797E-002,0.000000000000000
1500,1000,750,0.1504459381103516,2.0679950714111328E-002,0.000000000000000
2000,1000,750,0.1561298370361328,2.6559114456176758E-002,0.000000000000000
3000,1000,750,0.1653008460998535,3.8275957107543945E-002,0.000000000000000
5000,1000,750,0.1988220214843750,6.5185070037841797E-002,0.000000000000000
100,1500,750,0.1336519718170166,3.7291049957275391E-003,0.000000000000000
250,1500,750,0.1330471038818359,5.5811405181884766E-003,0.000000000000000
500,1500,750,0.1388850212097168,9.3159675598144531E-003,0.000000000000000
750,1500,750,0.1413140296936035,1.3249874114990234E-002,0.000000000000000
1000,1500,750,0.1450622081756592,1.7224788665771484E-002,0.000000000000000
1500,1500,750,0.1518218517303467,2.4534940719604492E-002,0.000000000000000
2000,1500,750,0.1592359542846680,3.2057046890258789E-002,0.000000000000000
3000,1500,750,0.1718919277191162,4.6198129653930664E-002,0.000000000000000
5000,1500,750,0.2077770233154297,7.7213048934936523E-002,0.000000000000000
100,2000,750,0.1369051933288574,5.3339004516601563E-003,0.000000000000000
250,2000,750,0.1353800296783447,8.2278251647949219E-003,0.000000000000000
500,2000,750,0.1448080539703369,1.4416217803955078E-002,0.000000000000000
750,2000,750,0.1487319469451904,2.0520210266113281E-002,0.000000000000000
1000,2000,750,0.1549899578094482,2.6372909545898438E-002,0.000000000000000
1500,2000,750,0.1709721088409424,3.7827014923095703E-002,0.000000000000000
2000,2000,750,0.1813509464263916,4.9386978149414063E-002,0.000000000000000
3000,2000,750,0.2001998424530029,7.3227167129516602E-002,0.000000000000000
5000,2000,750,0.2458550930023193,0.1201238632202148,0.000000000000000
100,3000,750,0.1306998729705811,6.7498683929443359E-003,0.000000000000000
250,3000,750,0.1356589794158936,1.1224985122680664E-002,0.000000000000000
